wl,n
0.600,3.66636
0.601,3.66515
0.602,3.66395
0.603,3.66275
0.604,3.66156
0.605,3.66037
0.606,3.65919
0.607,3.65802
0.608,3.65685
0.609,3.65569
0.610,3.65453
0.611,3.65339
0.612,3.65224
0.613,3.65111
0.614,3.64998
0.615,3.64886
0.616,3.64774
0.617,3.64664
0.618,3.64553
0.619,3.64444
0.620,3.64335
0.621,3.64227
0.622,3.64120
0.623,3.64013
0.624,3.63907
0.625,3.63801
0.626,3.63697
0.627,3.63593
0.628,3.63490
0.629,3.63387
0.630,3.63285
0.631,3.63184
0.632,3.63083
0.633,3.62983
0.634,3.62884
0.635,3.62786
0.636,3.62688
0.637,3.62591
0.638,3.62495
0.639,3.62399
0.640,3.62304
0.641,3.62210
0.642,3.62116
0.643,3.62023
0.644,3.61931
0.645,3.61839
0.646,3.61748
0.647,3.61658
0.648,3.61568
0.649,3.61479
0.650,3.61391
0.651,3.61304
0.652,3.61217
0.653,3.61131
0.654,3.61045
0.655,3.60960
0.656,3.60876
0.657,3.60792
0.658,3.60709
0.659,3.60627
0.660,3.60545
0.661,3.60464
0.662,3.60384
0.663,3.60304
0.664,3.60225
0.665,3.60146
0.666,3.60069
0.667,3.59991
0.668,3.59915
0.669,3.59839
0.670,3.59763
0.671,3.59688
0.672,3.59614
0.673,3.59541
0.674,3.59468
0.675,3.59395
0.676,3.59324
0.677,3.59252
0.678,3.59182
0.679,3.59112
0.680,3.59042
0.681,3.58973
0.682,3.58905
0.683,3.58837
0.684,3.58770
0.685,3.58704
0.686,3.58638
0.687,3.58572
0.688,3.58507
0.689,3.58443
0.690,3.58379
0.691,3.58316
0.692,3.58253
0.693,3.58191
0.694,3.58129
0.695,3.58068
0.696,3.58008
0.697,3.57948
0.698,3.57888
0.699,3.57829
0.700,3.57771
0.701,3.57713
0.702,3.57655
0.703,3.57598
0.704,3.57542
0.705,3.57486
0.706,3.57430
0.707,3.57375
0.708,3.57320
0.709,3.57266
0.710,3.57213
0.711,3.57160
0.712,3.57107
0.713,3.57055
0.714,3.57003
0.715,3.56952
0.716,3.56901
0.717,3.56851
0.718,3.56801
0.719,3.56752
0.720,3.56703
0.721,3.56654
0.722,3.56606
0.723,3.56559
0.724,3.56511
0.725,3.56465
0.726,3.56418
0.727,3.56372
0.728,3.56327
0.729,3.56282
0.730,3.56237
0.731,3.56193
0.732,3.56149
0.733,3.56105
0.734,3.56062
0.735,3.56020
0.736,3.55978
0.737,3.55936
0.738,3.55894
0.739,3.55853
0.740,3.55813
0.741,3.55772
0.742,3.55732
0.743,3.55693
0.744,3.55654
0.745,3.55615
0.746,3.55576
0.747,3.55538
0.748,3.55501
0.749,3.55463
0.750,3.55426
0.751,3.55390
0.752,3.55353
0.753,3.55318
0.754,3.55282
0.755,3.55247
0.756,3.55212
0.757,3.55177
0.758,3.55143
0.759,3.55109
0.760,3.55076
0.761,3.55042
0.762,3.55010
0.763,3.54977
0.764,3.54945
0.765,3.54913
0.766,3.54881
0.767,3.54850
0.768,3.54819
0.769,3.54788
0.770,3.54758
0.771,3.54728
0.772,3.54698
0.773,3.54668
0.774,3.54639
0.775,3.54610
0.776,3.54582
0.777,3.54553
0.778,3.54525
0.779,3.54498
0.780,3.54470
0.781,3.54443
0.782,3.54416
0.783,3.54390
0.784,3.54363
0.785,3.54337
0.786,3.54311
0.787,3.54286
0.788,3.54260
0.789,3.54235
0.790,3.54211
0.791,3.54186
0.792,3.54162
0.793,3.54138
0.794,3.54114
0.795,3.54091
0.796,3.54067
0.797,3.54045
0.798,3.54022
0.799,3.53999
0.800,3.53977
0.801,3.53955
0.802,3.53933
0.803,3.53912
0.804,3.53890
0.805,3.53869
0.806,3.53848
0.807,3.53828
0.808,3.53807
0.809,3.53787
0.810,3.53767
0.811,3.53747
0.812,3.53728
0.813,3.53709
0.814,3.53689
0.815,3.53671
0.816,3.53652
0.817,3.53633
0.818,3.53615
0.819,3.53597
0.820,3.53579
0.821,3.53562
0.822,3.53544
0.823,3.53527
0.824,3.53510
0.825,3.53493
0.826,3.53476
0.827,3.53460
0.828,3.53444
0.829,3.53428
0.830,3.53412
0.831,3.53396
0.832,3.53380
0.833,3.53365
0.834,3.53350
0.835,3.53335
0.836,3.53320
0.837,3.53305
0.838,3.53291
0.839,3.53277
0.840,3.53263
0.841,3.53249
0.842,3.53235
0.843,3.53221
0.844,3.53208
0.845,3.53195
0.846,3.53181
0.847,3.53169
0.848,3.53156
0.849,3.53143
0.850,3.53131
0.851,3.53118
0.852,3.53106
0.853,3.53094
0.854,3.53082
0.855,3.53071
0.856,3.53059
0.857,3.53048
0.858,3.53037
0.859,3.53026
0.860,3.53015
0.861,3.53004
0.862,3.52993
0.863,3.52983
0.864,3.52972
0.865,3.52962
0.866,3.52952
0.867,3.52942
0.868,3.52932
0.869,3.52922
0.870,3.52913
0.871,3.52903
0.872,3.52894
0.873,3.52885
0.874,3.52876
0.875,3.52867
0.876,3.52858
0.877,3.52850
0.878,3.52841
0.879,3.52833
0.880,3.52825
0.881,3.52816
0.882,3.52808
0.883,3.52800
0.884,3.52793
0.885,3.52785
0.886,3.52777
0.887,3.52770
0.888,3.52763
0.889,3.52755
0.890,3.52748
0.891,3.52741
0.892,3.52734
0.893,3.52728
0.894,3.52721
0.895,3.52715
0.896,3.52708
0.897,3.52702
0.898,3.52696
0.899,3.52689
0.900,3.52683
0.901,3.52677
0.902,3.52672
0.903,3.52666
0.904,3.52660
0.905,3.52655
0.906,3.52649
0.907,3.52644
0.908,3.52639
0.909,3.52634
0.910,3.52629
0.911,3.52624
0.912,3.52619
0.913,3.52614
0.914,3.52609
0.915,3.52605
0.916,3.52600
0.917,3.52596
0.918,3.52592
0.919,3.52587
0.920,3.52583
0.921,3.52579
0.922,3.52575
0.923,3.52571
0.924,3.52568
0.925,3.52564
0.926,3.52560
0.927,3.52557
0.928,3.52553
0.929,3.52550
0.930,3.52546
0.931,3.52543
0.932,3.52540
0.933,3.52537
0.934,3.52534
0.935,3.52531
0.936,3.52528
0.937,3.52525
0.938,3.52523
0.939,3.52520
0.940,3.52518
0.941,3.52515
0.942,3.52513
0.943,3.52510
0.944,3.52508
0.945,3.52506
0.946,3.52504
0.947,3.52502
0.948,3.52500
0.949,3.52498
0.950,3.52496
0.951,3.52494
0.952,3.52492
0.953,3.52491
0.954,3.52489
0.955,3.52487
0.956,3.52486
0.957,3.52485
0.958,3.52483
0.959,3.52482
0.960,3.52481
0.961,3.52479
0.962,3.52478
0.963,3.52477
0.964,3.52476
0.965,3.52475
0.966,3.52474
0.967,3.52474
0.968,3.52473
0.969,3.52472
0.970,3.52471
0.971,3.52471
0.972,3.52470
0.973,3.52470
0.974,3.52469
0.975,3.52469
0.976,3.52468
0.977,3.52468
0.978,3.52468
0.979,3.52468
0.980,3.52468
0.981,3.52467
0.982,3.52467
0.983,3.52467
0.984,3.52467
0.985,3.52468
0.986,3.52468
0.987,3.52468
0.988,3.52468
0.989,3.52468
0.990,3.52469
0.991,3.52469
0.992,3.52469
0.993,3.52470
0.994,3.52470
0.995,3.52471
0.996,3.52472
0.997,3.52472
0.998,3.52473
0.999,3.52474
1.000,3.52474
1.001,3.52475
1.002,3.52476
1.003,3.52477
1.004,3.52478
1.005,3.52479
1.006,3.52480
1.007,3.52481
1.008,3.52482
1.009,3.52483
1.010,3.52484
1.011,3.52485
1.012,3.52486
1.013,3.52488
1.014,3.52489
1.015,3.52490
1.016,3.52491
1.017,3.52493
1.018,3.52494
1.019,3.52496
1.020,3.52497
1.021,3.52499
1.022,3.52500
1.023,3.52502
1.024,3.52503
1.025,3.52505
1.026,3.52507
1.027,3.52508
1.028,3.52510
1.029,3.52512
1.030,3.52514
1.031,3.52516
1.032,3.52517
1.033,3.52519
1.034,3.52521
1.035,3.52523
1.036,3.52525
1.037,3.52527
1.038,3.52529
1.039,3.52531
1.040,3.52533
1.041,3.52535
1.042,3.52537
1.043,3.52540
1.044,3.52542
1.045,3.52544
1.046,3.52546
1.047,3.52549
1.048,3.52551
1.049,3.52553
1.050,3.52555
1.051,3.52558
1.052,3.52560
1.053,3.52563
1.054,3.52565
1.055,3.52567
1.056,3.52570
1.057,3.52572
1.058,3.52575
1.059,3.52577
1.060,3.52580
1.061,3.52583
1.062,3.52585
1.063,3.52588
1.064,3.52590
1.065,3.52593
1.066,3.52596
1.067,3.52598
1.068,3.52601
1.069,3.52604
1.070,3.52607
1.071,3.52609
1.072,3.52612
1.073,3.52615
1.074,3.52618
1.075,3.52621
1.076,3.52624
1.077,3.52626
1.078,3.52629
1.079,3.52632
1.080,3.52635
1.081,3.52638
1.082,3.52641
1.083,3.52644
1.084,3.52647
1.085,3.52650
1.086,3.52653
1.087,3.52656
1.088,3.52659
1.089,3.52662
1.090,3.52665
1.091,3.52668
1.092,3.52672
1.093,3.52675
1.094,3.52678
1.095,3.52681
1.096,3.52684
1.097,3.52687
1.098,3.52690
1.099,3.52694
1.100,3.52697
1.101,3.52700
1.102,3.52703
1.103,3.52707
1.104,3.52710
1.105,3.52713
1.106,3.52716
1.107,3.52720
1.108,3.52723
1.109,3.52726
1.110,3.52730
1.111,3.52733
1.112,3.52736
1.113,3.52740
1.114,3.52743
1.115,3.52747
1.116,3.52750
1.117,3.52753
1.118,3.52757
1.119,3.52760
1.120,3.52764
1.121,3.52767
1.122,3.52771
1.123,3.52774
1.124,3.52777
1.125,3.52781
1.126,3.52784
1.127,3.52788
1.128,3.52791
1.129,3.52795
1.130,3.52798
1.131,3.52802
1.132,3.52806
1.133,3.52809
1.134,3.52813
1.135,3.52816
1.136,3.52820
1.137,3.52823
1.138,3.52827
1.139,3.52830
1.140,3.52834
1.141,3.52838
1.142,3.52841
1.143,3.52845
1.144,3.52848
1.145,3.52852
1.146,3.52856
1.147,3.52859
1.148,3.52863
1.149,3.52867
1.150,3.52870
1.151,3.52874
1.152,3.52878
1.153,3.52881
1.154,3.52885
