wl,n
3.7163,5.879
3.7262,5.901
3.7361,5.923
3.7460,5.945
3.7559,5.967
3.7658,5.989
3.7757,6.011
3.7856,6.033
3.7955,6.055
3.8054,6.077
3.8153,6.100
3.8252,6.122
3.8351,6.144
3.8450,6.167
3.8549,6.189
3.8648,6.212
3.8747,6.235
3.8846,6.257
3.8945,6.280
3.9045,6.303
3.9144,6.326
3.9243,6.349
3.9342,6.372
3.9441,6.395
3.9540,6.418
3.9639,6.442
3.9738,6.465
3.9837,6.488
3.9936,6.512
4.0035,6.535
4.0134,6.558
4.0233,6.582
4.0332,6.606
4.0431,6.629
4.0530,6.653
4.0629,6.677
4.0728,6.701
4.0827,6.725
4.0926,6.748
4.1026,6.772
4.1125,6.796
4.1224,6.821
4.1323,6.845
4.1422,6.869
4.1521,6.893
4.1620,6.917
4.1719,6.942
4.1818,6.966
4.1917,6.991
4.2016,7.015
4.2115,7.040
4.2214,7.064
4.2313,7.089
4.2412,7.114
4.2511,7.138
4.2610,7.163
4.2709,7.188
4.2808,7.213
4.2907,7.238
4.3007,7.263
4.3106,7.288
4.3205,7.313
4.3304,7.338
4.3403,7.363
4.3502,7.388
4.3601,7.414
4.3700,7.439
4.3799,7.464
4.3898,7.490
4.3997,7.515
4.4096,7.541
4.4195,7.566
4.4294,7.592
4.4393,7.617
4.4492,7.643
4.4591,7.669
4.4690,7.695
4.4789,7.720
4.4888,7.746
4.4987,7.772
4.5087,7.798
4.5186,7.824
4.5285,7.850
4.5384,7.876
4.5483,7.902
4.5582,7.928
4.5681,7.954
4.5780,7.980
4.5879,8.007
4.5978,8.033
4.6077,8.059
4.6176,8.086
4.6275,8.112
4.6374,8.139
4.6473,8.165
4.6572,8.192
4.6671,8.218
4.6770,8.245
4.6869,8.271
4.6968,8.298
4.7068,8.325
4.7167,8.351
4.7266,8.378
4.7365,8.405
4.7464,8.432
4.7563,8.459
4.7662,8.486
4.7761,8.513
4.7860,8.540
4.7959,8.567
4.8058,8.594
4.8157,8.621
4.8256,8.648
4.8355,8.675
4.8454,8.702
4.8553,8.729
4.8652,8.757
4.8751,8.784
4.8850,8.811
4.8949,8.839
4.9049,8.866
4.9148,8.894
4.9247,8.921
4.9346,8.949
4.9445,8.976
4.9544,9.004
4.9643,9.031
4.9742,9.059
4.9841,9.087
4.9940,9.114
5.0039,9.142
5.0138,9.170
5.0237,9.198
5.0336,9.225
5.0435,9.253
5.0534,9.281
5.0633,9.309
5.0732,9.337
5.0831,9.365
5.0930,9.393
5.1030,9.421
5.1129,9.449
5.1228,9.477
5.1327,9.505
5.1426,9.533
5.1525,9.561
5.1624,9.590
5.1723,9.618
5.1822,9.646
5.1921,9.674
5.2020,9.703
5.2119,9.731
5.2218,9.759
5.2317,9.788
5.2416,9.816
5.2515,9.845
5.2614,9.873
5.2713,9.902
5.2812,9.930
5.2911,9.959
5.3011,9.987
5.3110,10.016
5.3209,10.045
5.3308,10.073
5.3407,10.102
5.3506,10.131
5.3605,10.159
5.3704,10.188
5.3803,10.217
5.3902,10.246
5.4001,10.275
5.4100,10.304
5.4199,10.332
5.4298,10.361
5.4397,10.390
5.4496,10.419
5.4595,10.448
5.4694,10.477
5.4793,10.506
5.4892,10.535
5.4991,10.564
5.5091,10.593
5.5190,10.623
5.5289,10.652
5.5388,10.681
5.5487,10.710
5.5586,10.739
5.5685,10.769
5.5784,10.798
5.5883,10.827
5.5982,10.856
5.6081,10.886
5.6180,10.915
5.6279,10.944
5.6378,10.974
5.6477,11.003
5.6576,11.033
5.6675,11.062
5.6774,11.092
5.6873,11.121
5.6972,11.151
5.7072,11.180
5.7171,11.210
5.7270,11.239
5.7369,11.269
