wl,n
0.600,3.30094
0.601,3.30568
0.602,3.31039
0.603,3.31508
0.604,3.31975
0.605,3.32439
0.606,3.32902
0.607,3.33362
0.608,3.33820
0.609,3.34275
0.610,3.34729
0.611,3.35181
0.612,3.35631
0.613,3.36079
0.614,3.36526
0.615,3.36970
0.616,3.37413
0.617,3.37854
0.618,3.38293
0.619,3.38731
0.620,3.39167
0.621,3.39602
0.622,3.40036
0.623,3.40468
0.624,3.40899
0.625,3.41329
0.626,3.41757
0.627,3.42185
0.628,3.42611
0.629,3.43037
0.630,3.43462
0.631,3.43885
0.632,3.44308
0.633,3.44731
0.634,3.45152
0.635,3.45573
0.636,3.45994
0.637,3.46414
0.638,3.46834
0.639,3.47253
0.640,3.47672
0.641,3.48091
0.642,3.48509
0.643,3.48928
0.644,3.49346
0.645,3.49765
0.646,3.50183
0.647,3.50602
0.648,3.51020
0.649,3.51439
0.650,3.51859
0.651,3.52278
0.652,3.52698
0.653,3.53118
0.654,3.53539
0.655,3.53961
0.656,3.54383
0.657,3.54805
0.658,3.55228
0.659,3.55652
0.660,3.56076
0.661,3.56502
0.662,3.56928
0.663,3.57355
0.664,3.57782
0.665,3.58211
0.666,3.58640
0.667,3.59071
0.668,3.59502
0.669,3.59935
0.670,3.60368
0.671,3.60802
0.672,3.61238
0.673,3.61674
0.674,3.62112
0.675,3.62550
0.676,3.62990
0.677,3.63431
0.678,3.63873
0.679,3.64315
0.680,3.64759
0.681,3.65204
0.682,3.65650
0.683,3.66098
0.684,3.66546
0.685,3.66995
0.686,3.67445
0.687,3.67897
0.688,3.68349
0.689,3.68802
0.690,3.69256
0.691,3.69711
0.692,3.70167
0.693,3.70624
0.694,3.71082
0.695,3.71541
0.696,3.72000
0.697,3.72460
0.698,3.72921
0.699,3.73382
0.700,3.73844
0.701,3.74306
0.702,3.74769
0.703,3.75233
0.704,3.75697
0.705,3.76161
0.706,3.76626
0.707,3.77090
0.708,3.77555
0.709,3.78021
0.710,3.78486
0.711,3.78951
0.712,3.79416
0.713,3.79882
0.714,3.80347
0.715,3.80811
0.716,3.81276
0.717,3.81740
0.718,3.82204
0.719,3.82667
0.720,3.83129
0.721,3.83591
0.722,3.84053
0.723,3.84513
0.724,3.84973
0.725,3.85431
0.726,3.85889
0.727,3.86346
0.728,3.86801
0.729,3.87256
0.730,3.87709
0.731,3.88160
0.732,3.88611
0.733,3.89059
0.734,3.89507
0.735,3.89952
0.736,3.90396
0.737,3.90838
0.738,3.91278
0.739,3.91716
0.740,3.92152
0.741,3.92586
0.742,3.93018
0.743,3.93448
0.744,3.93876
0.745,3.94301
0.746,3.94723
0.747,3.95144
0.748,3.95561
0.749,3.95976
0.750,3.96389
0.751,3.96798
0.752,3.97205
0.753,3.97609
0.754,3.98010
0.755,3.98408
0.756,3.98803
0.757,3.99195
0.758,3.99584
0.759,3.99970
0.760,4.00352
0.761,4.00732
0.762,4.01107
0.763,4.01480
0.764,4.01849
0.765,4.02215
0.766,4.02577
0.767,4.02935
0.768,4.03290
0.769,4.03642
0.770,4.03990
0.771,4.04334
0.772,4.04674
0.773,4.05011
0.774,4.05344
0.775,4.05673
0.776,4.05998
0.777,4.06319
0.778,4.06637
0.779,4.06951
0.780,4.07260
0.781,4.07566
0.782,4.07868
0.783,4.08166
0.784,4.08460
0.785,4.08750
0.786,4.09036
0.787,4.09318
0.788,4.09596
0.789,4.09870
0.790,4.10140
0.791,4.10406
0.792,4.10668
0.793,4.10926
0.794,4.11180
0.795,4.11430
0.796,4.11676
0.797,4.11918
0.798,4.12156
0.799,4.12390
0.800,4.12619
0.801,4.12845
0.802,4.13067
0.803,4.13285
0.804,4.13499
0.805,4.13710
0.806,4.13916
0.807,4.14118
0.808,4.14317
0.809,4.14511
0.810,4.14702
0.811,4.14889
0.812,4.15072
0.813,4.15251
0.814,4.15427
0.815,4.15598
0.816,4.15766
0.817,4.15931
0.818,4.16091
0.819,4.16248
0.820,4.16402
0.821,4.16552
0.822,4.16698
0.823,4.16841
0.824,4.16980
0.825,4.17115
0.826,4.17248
0.827,4.17376
0.828,4.17502
0.829,4.17624
0.830,4.17742
0.831,4.17858
0.832,4.17970
0.833,4.18078
0.834,4.18184
0.835,4.18286
0.836,4.18386
0.837,4.18482
0.838,4.18575
0.839,4.18664
0.840,4.18751
0.841,4.18835
0.842,4.18916
0.843,4.18994
0.844,4.19069
0.845,4.19141
0.846,4.19211
0.847,4.19277
0.848,4.19341
0.849,4.19402
0.850,4.19460
0.851,4.19516
0.852,4.19569
0.853,4.19619
0.854,4.19667
0.855,4.19712
0.856,4.19755
0.857,4.19795
0.858,4.19833
0.859,4.19869
0.860,4.19902
0.861,4.19932
0.862,4.19961
0.863,4.19987
0.864,4.20010
0.865,4.20032
0.866,4.20051
0.867,4.20069
0.868,4.20084
0.869,4.20097
0.870,4.20107
0.871,4.20116
